sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
T_T5_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_3_11_P1;BEL_3_III_B;3;BEL_3_3;BEL_3_3_b;BEL;2700;2700;3;forest;below;S_S2_3;P1;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
S_4_2_P1;BEL_3_V_B;5;BEL_3_5;BEL_3_5_b;BEL;2700;2700;3;forest;below;S_S2_3;P1;S;E_4_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
E_7_12_P1;;;;;;;;;;;;P1;E;E_7_12;;;;;;;;;;;;;;;;;;;
S_4_4_P1;DOM_3_II_A;2;DOM_3_2;DOM_3_2_a;DOM;3224;3300;3;forest;below;S_S1_7;P1;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
N_PCRB2_P1;;;;;;;;;;;;P1;N;;;;;;;;;;;;;;;;;;;;
E_8_12_P1;;;;;;;;;;;;P1;E;E_8_12;;;;;;;;;;;;;;;;;;;
S_4_5_P1;DOM_3_III_A;3;DOM_3_3;DOM_3_3_a;DOM;3224;3300;3;forest;below;S_S1_7;P1;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
S_4_9_P1;DOM_3_II_B;2;DOM_3_2;DOM_3_2_b;DOM;3224;3300;3;forest;below;S_S1_7;P1;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
T_T6_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
S_4_11_P1;DOM_3_IV_B;4;DOM_3_4;DOM_3_4_b;DOM;3224;3300;3;forest;below;S_S1_7;P1;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
S_5_3_P1;DOM_2_II_A;2;DOM_2_2;DOM_2_2_a;DOM;3534;3500;2;subparamo;above;S_S1_6;P1;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
